eg_ID	pval_SKATbin	p.adj
Shelterin	9.50024891001402e-07	3.80009956400561e-06
Centrosome	0.00012528026404904	0.000375840792147119
BRCA_genes	0.502827706724346	0.502827706724346
SARC_genes	5.00425299571228e-10	2.50212649785614e-09
MPNST	0.0446168551797406	0.0892337103594811
