new_sampleid	Bam_Id	Depth	Chimeric_Reads_NGScheck	Chimeric_Reads_flagstat	Mean_TLEN	Q30	FREEMIX	Yield	Yield_QC	sa.qc.callRate	sa.qc.dpMean	sa.qc.dpStDev	sa.qc.gqStDev	sa.hetStats.stdev	sa.qc.rHetHomVar	sa.qc.rTiTv	sa.qc.nSingleton	sa.qc.nSNP	sa.qc.nInsertion	sa.qc.nDeletion	sa.imputesex.Fstat	call_rate	f_stat	passes_qc0	passes_qc1	passes_qc2
6c68f931-f689-4055-8497-b39d515c73a1	fc1c632a-736c-46e4-84e3-b688ecfcb854	33.1	0.0236	0.0141	455	85.36	0.00063	130.04	102.76	0.999178082192	33.6619139018	11.2102588724	13.2043296758	0.500133931607	1.60008203445	4.04951065055	0	8771	9	0	0.0596757898729	0.95742	0.057131	TRUE	FALSE	TRUE
6c7d0beb-a20c-4cf8-8e52-2028a8620bb5	NA	0	NA	1	300	NA	1	NA	NA	0.998264840183	28.0908425579	11.0200987087	21.134954375	0.561475739804	1.43834526651	4.14039262344	0	8641	4	0	-0.0148767689863	0.95546	-0.011918	FALSE	FALSE	FALSE
6d1294b5-4fbb-4f31-8d45-e8540be8452d	1d64fb97-54f2-46b7-b52b-a2203485b46a	33.5	0.019	0.0129	214	89.83	0.00022	119.98	102.65	0.996347031963	35.8955087076	11.8073012566	16.4125137086	0.538035907058	1.51909017059	3.93896177981	0	8658	5	1	0.117393899957	0.95662	0.11904	TRUE	FALSE	TRUE
6d8039c5-35d8-4e90-91ee-cd580da0e488	a100bc39-9b88-4963-9736-910d83727108	40	0.0147	0.0096	305	82.22	0.00027	132.86	123.2	0.998721461187	39.7289685443	9.22557602516	9.44899968257	0.431707916898	1.48385826772	4	0	8845	3	1	0.00676752229541	0.95801	0.011892	TRUE	TRUE	TRUE
6e7a5915-0ff7-4695-a591-48971c21d578	6645f2a9-dc7b-4880-8759-2bad5656b47f	36.7	0.0133	0.0088	317	90.86	5e-04	120.65	112.83	0.999086757991	37.7189213894	9.76894252	10.9360902094	0.511183595924	1.47139403707	3.94997124784	0	8608	9	1	0.0452462623518	0.95844	0.047374	TRUE	TRUE	TRUE
6e886dbf-6f8e-48c8-b813-372d596c7a3d	6e91ceda-78d4-4b34-870c-91d85e7e2556	41.4	0.0143	0.0092	301	87.37	0.00019	140.63	127.41	0.998264840183	42.7417436648	10.3731757822	7.85571308253	0.397980444505	1.49460647223	3.95073612684	2	8743	8	0	-0.00044724146516	0.95721	0.0045057	TRUE	FALSE	TRUE
6f602aef-51fe-40ad-9984-0f95d27a4078	NA	0	NA	1	300	NA	1	NA	NA	0.984931506849	6.96430227167	4.6386261652	30.8006015478	0.743963802633	1.16234543279	4.15409622887	0	7927	1	0	0.296663498994	0.9441	0.3038	FALSE	FALSE	FALSE
6f8ac0e4-93ba-4e42-9f98-3eebf9e0c2cd	315041cb-192e-451a-b87e-f9b285b16c52	38.7	0.0855	0.0515	372	87.34	0.00034	145.06	119.44	0.997625570776	42.2447821311	10.6765443255	10.9979094612	0.416476248972	1.56772334294	4.04778554779	0	8662	4	0	0.995187745316	0.99454	0.99523	TRUE	FALSE	FALSE
6fbe3501-5ece-42d1-a756-b4cac6d36274	48626af1-5f0f-499a-838c-4d96810dc8bf	41.5	0.0196	0.0138	457	85.11	0.00042	152.76	128.53	0.998721461187	42.7958119971	12.1073406012	7.62588049877	0.4118254566	1.44484126984	4.04069767442	0	8670	10	1	0.00676752229541	0.95721	0.0071302	TRUE	FALSE	TRUE
705b3927-bba2-4d67-bbe4-61bd1855efe4	80785d53-8183-4fb2-ae75-6a6511f39cc9	42.1	0.0333	0.0156	291	84.99	0.00107	151.82	129.85	0.999269406393	42.8793639188	13.1446988298	13.9666161791	0.398275103854	1.42619047619	3.95238095238	0	8632	4	0	0.145824793578	0.96004	0.14718	TRUE	FALSE	TRUE
71957f31-d099-4a1b-8193-3eced158ccd7	d1aa9406-462a-420a-b68d-95ef714e2575	27.6	0.0242	0.0126	412	85.11	0.00049	109.27	85.38	0.998356164384	28.8444932309	10.7049015659	16.7825093151	0.571294734273	1.51434262948	4.00056721497	0	8816	6	1	0.069295474887	0.95808	0.071417	TRUE	FALSE	TRUE
71eb3499-2ca8-4b07-b176-73b972f9ee03	b299badc-de22-47b6-8544-d479cba25251	35.9	0.0195	0.0145	246	90.59	0.00027	121.43	110.78	0.997808219178	38.1058941973	10.2563806654	10.3501892151	0.484487593175	1.58165364048	4.00517538815	0	8704	4	0	0.124608663718	0.95553	0.12649	TRUE	FALSE	TRUE
7205f444-7b63-459b-af3b-591512901769	d752ba54-a7c8-456a-9a9c-c003bc6f3257	34.3	0.0196	0.0119	447	80.35	0.00109	124.42	106.43	0.999178082192	34.1233890869	11.573118192	14.1953171329	0.476138619621	1.56283041887	4.09848484848	0	8749	13	1	0.0813200811546	0.95779	0.080941	TRUE	FALSE	TRUE
72e9374a-791f-43f4-b323-a16d2351f734	51a64ab9-dbaa-4ba6-a76d-9928204c249d	34.3	0.0242	0.0148	433	88.08	0.00033	136.69	106.17	0.997351598174	36.9399322406	11.0139242915	10.2197739988	0.407562190925	1.41457770922	4.00056497175	0	8851	4	1	0.995190157493	0.99396	0.99286	TRUE	FALSE	TRUE
732b54a7-bbc2-40c5-8765-91469082e8ed	396fa391-cfc4-4f55-8de9-d51863ae25b5	33.1	0.0169	0.0129	433	91.92	0.00048	146.62	102.41	0.998264840183	34.9082426128	11.1619795519	11.7945532138	0.563391483838	1.43133385951	4.25090689238	0	8685	9	2	0.15346771876	0.9575	0.15237	TRUE	FALSE	TRUE
73c18d67-ae57-4f4e-8b7e-57baca0d3054	3e8fac0c-ca8a-4f64-827b-b8244d18494b	47.6	0.0161	0.0111	311	87.64	6e-05	158.83	146.58	0.999634703196	48.9175041111	10.0549309231	5.92374509177	0.399492749222	1.48647573588	4.14017595308	0	8764	4	0	0.074105317394	0.9583	0.083097	TRUE	FALSE	TRUE
