new_sampleid	sa.qc.callRate	sa.qc.dpMean	sa.qc.dpStDev	sa.qc.gqStDev	sa.hetStats.stdev	sa.qc.rHetHomVar	sa.qc.rTiTv	sa.qc.nSingleton	sa.qc.nSNP	sa.qc.nInsertion	sa.qc.nDeletion	sa.imputesex.Fstat	call_rate	f_stat	passes_qc1	passes_qc2
87666190-d468-497f-8a65-c74321998337	0.99871252529	40.4099447514	11.9301331886	10.9823686777	0.376740418163	1.43284757779	3.94044242768	0	8710	7	1	0.0888648593637	0.95665	0.09157	FALSE	TRUE
87c89e90-a365-490b-9e8e-22be74eb4870	0.99862056281	39.7251128097	10.2219429136	9.58549284389	0.482659530803	1.58161113454	4.16747868453	0	8485	7	0	0.992652135963	0.99668	0.99273	FALSE	TRUE
888f7c10-3706-466f-add8-1e8bd2e491d1	0.99871252529	38.2807550645	10.6809109159	11.5467670506	0.436581428034	1.5677104514	3.95984162896	0	8769	4	0	0.9804056959	0.99638	0.98063	FALSE	TRUE
88aafa42-e99d-4700-b9cd-0077ed6d0373	0.99871252529	88.2217311234	17.069056123	4.66721364372	0.310668364809	1.51339464214	4.01541976014	1	8782	4	1	0.0307496205039	0.95547	0.041351	FALSE	TRUE
89fece0b-1376-41a1-ae1b-49204a275878	0.99862056281	24.1874942444	8.28744053746	20.3075444966	0.602082591387	1.32154696133	4.01614699332	2	9009	10	3	0.194738952388	0.95635	0.19049	TRUE	TRUE
8a447fa3-d245-4a4f-8ed7-382867170f03	0.998988412728	37.5202982601	9.41138544699	10.7138116501	0.403998572188	1.44617784711	3.93296089385	0	8830	6	1	-0.020650020833	0.95761	-0.014008	TRUE	TRUE
8a6ddc39-7a2b-4718-8da8-f7abd6f5d73c	0.999540187603	35.5574569878	12.2379096957	11.175611137	0.438668301174	1.484	4.03939745075	0	8698	12	2	0.995104796063	0.99845	0.99274	FALSE	TRUE
8c598497-5783-4571-8b8d-2f5dfd443d05	0.99862056281	36.0405193848	10.417865655	12.7460373561	0.437790105718	1.42495126706	3.9281302639	0	8777	7	1	0.995101423975	0.9966	0.99516	FALSE	TRUE
8dfc98f7-24f4-4630-b61c-38e1c9892282	0.999540187603	42.3496181801	9.40012044189	7.29806763897	0.361792498621	1.56974789916	4.06622911695	0	8491	4	1	0.997552398032	0.99712	0.99758	TRUE	TRUE
8f549c8f-7cf2-41e5-a4ef-0bdf7c717f09	0.998988412728	34.7527386541	11.4645162818	11.6993319323	0.523211703225	1.53601609658	4.05587557604	1	8777	8	2	0.995104796063	0.99742	0.99516	FALSE	TRUE
8f88a550-9602-4156-9c5a-86e96abcdad7	0.996597388266	35.2318907447	10.5251175277	15.3532345719	0.547429814615	1.51982378855	4.01426940639	0	8785	4	1	0.111520485462	0.95495	0.10699	FALSE	TRUE
9058646c-91c2-41ea-9a79-4afee8b353bd	0.999724112562	33.3390672431	10.0136977207	14.7022354845	0.463453797729	1.53592314119	4.08533653846	0	8462	2	2	0.995104796063	0.99564	0.99516	FALSE	TRUE
