gene	Cases	Controls	Fish_pval	CI_lower	CI_upper	OR_Fish	case_coh_size	cont_coh_size	Coh
Shelterin	53	40	6.47173287651382e-06	1.70688083029463	4.0968289804229	2.6352768838273	1644	3205	original
Shelterin	53	40	3.85108678073024e-06	1.7209672648061	4.13081492292457	2.65697856103593	1631	3205	PCs_min13
Shelterin	53	35	3.12012881282644e-07	1.93868874754031	4.82438066805569	3.04124340362167	1631	3205	PCs_EMMAX_min13
Shelterin	53	40	3.85108678073024e-06	1.7209672648061	4.13081492292457	2.65697856103593	1631	3205	kingGRM_EMMAX_min13
Shelterin	53	40	3.85108678073024e-06	1.7209672648061	4.13081492292457	2.65697856103593	1631	3205	kingPCs_EMMAX_min13
